"","Overall","KM3_1","KM3_2","KM3_3","KM4_1","KM4_2","KM4_3","KM4_4","KM5_1","KM5_2","KM5_3","KM5_4","KM5_5","KM6_1","KM6_2","KM6_3","KM6_4","KM6_5","KM6_6"
"Count",8636,851,5329,2456,814,2431,4992,399,2283,4739,643,635,336,1326,643,5010,281,443,933
"BALANCE",1577.20943200751,5257.57184057796,820.929834412648,1942.93645394951,5069.62330374903,1656.85911233032,793.33511079407,3774.32057745898,1610.0431985576,766.936702947668,6391.88224389291,1369.70295337953,3960.70636613601,859.270452183258,1351.10172801866,750.880335986826,4327.711062065,6951.49052678235,3810.42018114362
"ONEOFF_PURCHASES",547.887741489115,1461.21532961222,275.392179208107,822.678895358306,961.034235872236,769.692723776224,252.713744591346,2046.63319047619,733.325455321945,237.366549166491,623.400283825816,1289.70247480315,2121.0981860119,775.414469457014,1817.68505209953,240.529001996008,2128.01624733096,917.769446952596,348.330900321543
"INSTALLMENTS_PURCHASES",393.618189092172,810.788030552291,278.683916119347,498.452556188925,561.942744471744,490.009306458248,268.432821714744,1029.16294987469,491.420128777924,261.288654357459,426.377594090202,623.614598425197,1098.12955654762,510.971052036199,852.968181959564,270.930161676647,1139.29480427046,590.318627539503,251.090485530547
"CASH_ADVANCE",950.625518440001,3761.53101319724,484.847615489961,987.290774458876,2489.93107119453,882.416131397367,459.615389994591,4369.03369176817,936.169832178712,412.526870807343,3759.51136864261,314.982939108661,4464.23045612098,199.055177402715,1375.48149096353,377.089561011776,4731.92181026245,3348.23675750542,2528.47009688601
"PURCHASES_FREQUENCY",0.496000000231589,0.527276237367803,0.462087228185401,0.558746370114007,0.516838925061425,0.558821743315508,0.458152582732372,0.544250040100251,0.549145584756899,0.456532558978687,0.397918236391913,0.66872834488189,0.552812232142857,0.638823457013575,0.630847074650078,0.469101134530938,0.556496953736655,0.472504381489842,0.337459442658092
"CASH_ADVANCE_FREQUENCY",0.13645499548402,0.303057491186839,0.110140724150873,0.135823899429967,0.24918487960688,0.126097680378445,0.109119285657051,0.311583744360902,0.135488554971529,0.104750973201097,0.366149147744946,0.0520113669291339,0.310205321428571,0.041548625188537,0.153094973561431,0.0994952363273453,0.326387362989324,0.31038316027088,0.318548845659164
"PURCHASES_TRX",14.466135942566,28.3706815511163,10.1364702570839,19.0426913680782,20.9456388206388,18.5688605512135,9.72074318910256,35.6214285714285,18.3112571178274,9.41280860941127,16.2153965785381,24.3603937007874,37.566369047619,19.1682880844646,31.9020217729393,9.79140718562874,37.5624555160142,21.5278781038375,10.5600750267953
"CREDIT_LIMIT",4500.87171506635,11215.2814870212,2224.87093680278,7112.77946402117,11336.3636363636,6355.55451678445,2083.66797987881,9498.00637958647,5604.68814292729,1997.90473845854,9708.78693623639,11162.5196850394,9747.03733766369,8479.71685177526,4817.46783543079,2187.87170104232,11018.1656421886,11620.993227991,5704.5551982851
"PAYMENTS",1700.0939532163,5724.72165694712,962.925194896791,1905.0671361193,2273.61656471007,1824.68681597038,902.652376466146,9747.95284049875,1911.59735991283,835.753242252163,2358.10639978849,2150.54566455118,10343.2770244286,1457.64215329186,5049.62129900311,804.243162692415,10516.2280914769,2508.04583846275,1507.91933999893
"MINIMUM_PAYMENTS",767.348831675363,2079.7784581846,562.24892645333,757.617472867894,1821.46929129926,697.565552530604,555.013811955077,1698.59072618847,680.972131854358,549.636791895272,2516.94827501049,440.916677193701,1693.62067167708,310.246794174208,679.139902693624,492.396721378452,1800.43376954626,2609.21495736027,1768.53013331436
"TENURE",11.534390921723,11.7332549941246,11.4118971664477,11.7312703583062,11.6818181818182,11.7429041546689,11.3882211538462,11.7919799498747,11.7455102934735,11.3728634733066,11.5940902021773,11.7842519685039,11.7916666666667,11.8039215686275,11.8304821150855,11.4061876247505,11.7900355871886,11.7313769751693,11.465166130761
"monthly_avg_purchase",82.3099118180916,201.40671476728,48.8152426730918,113.719403904388,133.515885060237,107.492484367237,46.1445205435479,276.889202936996,104.696615611721,44.2766172998943,93.628648423807,165.066004867005,288.568457167336,109.598158684453,231.359140421657,45.2755569140219,290.460035556377,133.08436159564,52.8736660630961
"limit_usage",0.394755775723639,0.515579318515519,0.416077003857073,0.306628064144258,0.504179772846875,0.294937629795559,0.423001273888707,0.426297761319707,0.315182375041158,0.425359850916747,0.697115432578268,0.128135939983763,0.429040590471433,0.104871977015709,0.312597282149176,0.402877526142621,0.430186946056232,0.640935284220115,0.692194337061903
"pay_minpay_ratio",5.40629358937736,8.00044797277185,4.59985795961201,6.25721789342899,3.46638052143915,6.42412142522724,4.42575934889155,15.4302953358831,6.61555894480727,4.24580626876239,1.21050620714702,8.71079214183753,15.3418034462515,7.28143570226629,15.7079883744115,4.20037124267435,14.5832812425531,1.23564774002586,1.33352333132239
